License Plate,Camera ID,Vehicle Type,Time,Date,Price
SQR4603,1,Bus,17:38:52,2023-07-02,850
XUE5710,1,Truck,12:22:47,2024-10-30,1000
NAK5238,5,Truck,17:26:58,2024-06-24,700
VTP6471,4,Car,23:18:18,2023-05-24,800
SJQ1490,2,Car,19:41:52,2024-04-22,300
DMK1662,2,Bus,04:23:18,2024-05-28,350
NTM6562,5,Bus,23:14:25,2023-09-19,200
USU5761,1,Bus,02:04:10,2024-07-02,450
CJD4929,1,Bus,01:58:48,2024-01-12,550
CJD1929,1,Bus,01:58:48,2024-04-25,550
BHR8657,3,Bus,19:40:57,2024-04-12,700
GVE0611,3,Bus,23:02:13,2024-05-23,850
CAL8880,4,Bus,13:50:27,2023-08-26,50
CSL8880,4,Bus,13:50:27,2024-04-05,50
ABC1234,2,Car,08:45:21,2024-04-26,750
XYZ5678,1,Truck,11:32:49,2024-04-26,1200
DEF9876,3,Bus,15:20:05,2024-04-26,900
GHI4567,4,Car,17:15:33,2024-04-26,850
JKL3210,5,Truck,19:58:12,2024-04-26,1100
MNO7890,2,Bus,22:05:28,2024-04-26,950
PQR5432,1,Car,14:40:17,2024-04-26,800
STU8765,3,Truck,16:55:42,2024-04-26,1300
VWX9012,4,Bus,09:10:59,2024-04-26,850
YZA2345,5,Car,12:25:36,2024-04-26,700
LMN6789,2,Truck,18:20:14,2024-04-26,1250
QRS0987,3,Bus,10:35:28,2024-04-26,920
TUV7654,1,Car,13:48:51,2024-04-26,780
OPQ4567,4,Truck,21:30:07,2024-04-26,1150
EFG3210,5,Bus,07:15:49,2024-04-26,880
HIJ6543,2,Car,09:55:33,2024-04-26,760
UVW8765,3,Truck,16:10:26,2024-04-26,1280
XYZ1234,1,Bus,19:42:35,2024-04-26,890
RST9876,4,Car,12:05:49,2024-04-26,820
IJK3456,5,Truck,14:28:17,2024-04-26,1120
BCD7890,2,Bus,22:15:04,2024-04-26,930
NOP2345,3,Car,10:50:38,2024-04-26,770
GHI6789,1,Truck,13:25:59,2024-04-26,1210
JKL9012,4,Bus,17:18:44,2024-04-26,870
MNO3456,5,Car,20:55:12,2024-04-26,710
PQR7890,2,Truck,08:30:59,2024-04-26,1180
STU1234,3,Bus,11:20:33,2024-04-26,940
VWX5678,1,Car,14:10:28,2024-04-26,790
YZA9012,4,Truck,16:45:14,2024-04-26,1260
EFG3456,5,Bus,18:58:21,2024-04-26,900
HIJ7890,2,Car,21:20:36,2024-04-26,740
NOP1234,3,Truck,09:15:48,2024-04-26,1140
BCD5678,1,Bus,12:35:59,2024-04-26,910
LMN9012,4,Car,15:20:05,2024-04-26,830
QRS3456,5,Truck,19:05:33,2024-04-26,1200
TUV7890,2,Bus,22:40:28,2024-04-26,960
OPQ1234,3,Car,10:20:14,2024-04-26,750
EFG5678,1,Truck,13:45:22,2024-04-26,1160
HIJ9012,4,Bus,16:30:37,2024-04-26,880
YSZ7529,4,Bus,15:57:11,2024-04-26,1300
YSZ7529,4,Bus,20:57:11,2024-04-26,100
YSZ7529,4,Bus,20:57:11,2024-04-26,120
YSZ7529,4,Bus,20:57:11,2024-04-26,1130
TUU8458,3,Car,12:59:04,2024-05-25,102
GFD9082,5,Car,08:43:02,2024-04-26,550
EPX0317,3,Motorcycle,09:32:57,2024-05-06,850
LSU3557,1,Car,06:44:17,2023-10-07,1200
ETV1526,3,Car,14:41:11,2024-06-11,750
XNI5133,4,Truck,01:10:36,2023-04-07,550
JSU7132,2,Truck,04:21:39,2023-07-23,500
EJQ9608,3,Car,03:12:48,2023-09-30,750
YHM6518,5,Bus,05:36:26,2023-09-04,250
PMU8525,3,Truck,21:27:13,2024-08-10,700
PNL0046,4,Motorcycle,21:16:29,2024-11-19,1050
JWJ3793,4,Motorcycle,22:27:06,2023-06-15,200
VIB7578,5,Motorcycle,14:14:49,2023-07-01,1150
NYZ7586,3,Car,03:18:45,2023-02-11,300
QYS7978,5,Car,12:12:35,2023-09-15,650
IGZ5299,5,Motorcycle,18:11:33,2023-09-09,250
ENN5114,1,Car,07:17:40,2023-11-13,100
VRW7060,1,Car,20:49:49,2023-10-17,550
LJI6354,1,Motorcycle,11:55:06,2024-07-30,450
PQK1909,1,Bus,23:41:22,2023-06-03,200
DNV0126,5,Bus,10:08:49,2024-07-02,50
XHP0519,4,Bus,18:32:24,2023-01-13,400
BRL6373,3,Motorcycle,06:45:17,2024-05-24,1150
EPN7594,3,Bus,23:06:18,2024-07-27,50
CTO6715,2,Motorcycle,03:03:01,2024-02-14,250
GON2901,4,Car,05:28:44,2023-08-12,850
RSN2047,2,Car,15:59:10,2024-05-30,1000
RTQ9181,5,Bus,14:13:31,2024-06-17,950
GWB5327,1,Motorcycle,07:05:10,2024-07-22,250
WXB3713,4,Truck,01:00:23,2024-02-06,400
YUW6017,4,Motorcycle,15:19:14,2023-12-20,100
VSV6881,2,Car,13:06:47,2024-07-17,1050
BIZ1120,4,Bus,18:20:23,2024-05-02,1200
SGH9721,1,Truck,22:33:43,2023-07-07,1100
WAE9283,3,Truck,13:46:26,2023-11-12,250
UWG8672,1,Truck,20:23:34,2024-06-23,250
UZM9891,3,Car,05:16:17,2023-10-22,1100
BLA1393,4,Bus,06:15:56,2024-07-11,400
CWO8169,3,Motorcycle,09:36:52,2024-02-14,100
LTN6606,5,Truck,01:19:06,2023-10-23,450
FPN3004,1,Truck,08:17:53,2023-10-04,150
FZO1624,2,Bus,07:08:05,2023-03-08,900
LFE1429,3,Motorcycle,18:42:47,2023-04-23,500
XFY5513,4,Motorcycle,16:31:28,2023-07-22,650
BWQ4881,4,Motorcycle,16:00:41,2024-10-08,1200
